inputID,input,task,source
ir1,"Alan Joyce will leave Qantas tomorrow after a tumultuous week for the airline. Qantas announced his early departure saying Mr Joyce would bring forward his retirement by two months to help the company ""accelerate its renewal"". ""In the last few weeks, the focus on Qantas and events of the past make it clear to me that the company needs to move ahead with its renewal as a priority,"" Mr Joyce said in a statement. ""The best thing I can do under these circumstances is to bring forward my retirementÂ and hand over to Vanessa and the new management team now, knowing they will do an excellent job."" TheÂ news of Mr Joyce's abruptÂ departure comes less that a week after the competition regulator launched legal action against Qantas for allegedly selling tickets to flights that had already been cancelled over a three-month period in 2022. Qantas said it was taking those accusations seriously. The airline's current chief financial officer,Â Vanessa Hudson, will assume the role of managing director and group chief executive effective September 6, and is the first female CEO in the airline's 103-year history. She was scheduled to take over from Mr Joyce in November after being appointed in May. Mr Joyce has spent 15 years as the airline's CEO, and extended his tenure at the request of the Qantas board to assist with its recovery from the pandemic. Mr Joyce said there was a lot of he wasÂ ""proud"" of over his 22 years at Qantas, including the past 15 years as chief executive. ""There have been many ups and downs, and there is clearly much work still to be done, especially to make sure we always deliver for our customers,"" he said. ""But I leave knowing that the company is fundamentally strong and has a bright future."" Qantas chairman Richard Goyder thanked MrÂ Joyce for his service, saying his decision to bring forward his retirement showed he was putting the company first. He said Qantas now faced the task of winning back the public's confidence. ""This transition comes at what is obviously a challenging time for Qantas and its people,"" he said. ""We have an important job to do in restoring the public's confidence in the kind of company we are, and that's what the board is focused on, and what the management under Vanessa's leadership will do."" On Monday, Qantas' board of directors issued a statement in response to the ACCC action, where they apologisedÂ for falling short of expectations after the pandemic. The board also acknowledged Qantas' reputation ""has already been hit hard on several fronts"" and was taking the community's frustration and disappointment seriously. ""We know that the only way to fix it is by delivering consistently,"" the statement said. ""We know it will take time to repair. And we are absolutely determined to do that."" The national secretary of the Transport Workers Union, Michael Kaine, said the news of Mr Joyce's departure from Qantas was ""the first good decision the Qantas board has made for a very long time"". Mr Kaine said Mr Joyce needs to have his millions of dollars worth of bonuses stripped ""immediately"". ""Alan Joyce is slipping into retirement two months early with a $24 million pay packet, leaving one of the biggest messes in corporate Australia's history in his wake,"" he said. ""After finally receiving the public scrutiny he deserves for trashing one of Australia's most cherished companies, Alan Joyce is exiting with a $10 million bonus, announced on Friday. ""He must be stripped of those bonuses immediately."" Had Mr Joyce stayed as Qantas CEO until November, he would have accumulatedÂ about $125 million during his time in the job.Â  It is unclear what will happen with his entitlements now he has stepped down. Mr Kaine said that in the wake of Qantas' record pre-tax profit of $2.5 billion last month, on top of $2.7 billion worth of taxpayer funding the airline received during the pandemic, and past actions of grounding of the fleet and illegal outsourcing of jobs, the company needed to refocus and chart a new path forward. ""The question now should turn to whether the board should spill their positions following years of decimated jobs and standards, illegal outsourcing, and outrageous bonuses,"" he said. ""The new regime must embark on a total reset. Qantas needs to bring back good, secure jobs and quality standards."" The Australian Council of Trade Unions (ACTU) has also welcomed Mr Joyce's decision to leave the airline earlier than scheduled, and said Qantas has an opportunity to start fresh. ""Whilst we welcome Alan Joyce's exit, what really needs to go is the culture of profit over people,"" ACTU president Michele O'Neil said. ""Now is the opportunity for Qantas to restore its reputation as the nation's flagship carrier by working with unions to pay workers the fair wages and conditions they deserve and restore customers' faith in this airline."" In the past fortnight, Qantas has been involved in a number of controversies. On Monday last week,Â the airline admitted it had not disclosedÂ the true value of its unredeemed flight credits,Â during a fiery Senate committee hearing in Melbourne. Qantas had publicly said itÂ hadÂ $370 million in outstanding flight credits on its books, but senators were told during the hearingÂ that Jetstar had another $100 million in outstanding flight credits on its books, and Qantas' international passengers had more flight credits owed to them too. The airline's executives also told senators that they'd set a deadline of December 31 for millions of dollars worth of outstanding flight credits to be claimed. But after aÂ public backlash, Qantas backtracked. On Thursday, Mr Joyce announced Qantas was removing the expiry dates on $570 million worth of COVID travel credits owed to Australian and international customers which were due to run out at the end of thisÂ year. ""These credits and vouchers will never expire,"" he said in a video statement. ""We're doing this because we've listened."" That same morning,Â Australia's competition regulator accused Qantas of engaging in misleading and deceptive conduct by allegedly advertising and selling tickets to flights that the airline had already cancelled. The Australian Competition and Consumer Commission (ACCC) launched its legal action in the Federal Court of Australia on Thursday, accusing Qantas of selling tickets for flights that were scheduled to depart between May and July 2022, but which had been cancelled, and thatÂ it soldÂ tickets for those flights on its website for an average of more than two weeks after the cancellations, and in some cases for more than a month. Qantas customers have also launched a class action in relation to the airline's flight credits. The regulator says affected customers may be able to seek remedies against Qantas as part of the class action. Last month, Mr Joyce again ruled out paying back $2.7 billion in taxpayer handouts provided during the pandemic, including $855 million solely for the JobKeeper wage subsidy. He told ABC's 7.30 that the best way for Qantas to repay the money was by earning higher profits, therefore paying more corporate tax, and the airline would pay corporate tax again in the 2025 financial year. If you're unable to load the form, click here.",information retrieval,https://www.abc.net.au/news/2023-09-05/alan-joyce-standing-down-from-qantas-early/102814516
ir2,"The three brothers who own Whakaari White Island have had charges against them dismissed in an Auckland court. James, Andrew and Peter Buttle were charged under New Zealandâ€™s workplace health and safety laws with failing to adequately understand and manage the risks of allowing tours on the island. Worksafe NZ argued the brothers, as directors of their company Whakaari Management Limited (WML), failed to ensure an expert risk assessment was conducted prior to the December 2019 eruption, which killed 22 people, including 17 Australians. Their defence lawyerÂ James CairneyÂ argued the prosecution had not done enough to prove the charge against each individual. Judge Evangelos Thomas agreed, saying: ""There is no evidence in this case as to what happened behind the boardroom door at WML. Without that evidence I cannot assess what a reasonable director would have done."" Worksafe NZ concluded its prosecution last week, before the Buttles lodged an application to have charges against the individual brothers dismissed. Today, that application was granted. While charges against the individuals have been dismissed, the trial over their company WML's involvement continues. Thirteen parties were charged as part of this case, including the three Buttle brothers, their company WML, the tour operator White Island Tours, several other tourism companies as well as New Zealand's volcano monitor GNS Science and National Emergency Management Agency. The Buttles and WML pleaded not guilty, as did two other tourism companiesÂ â€” ID Tours NZ and Tauranga Tourism Services â€” that are also on trial.Â  The court is due to hear applications from ID Tours NZ and Tauranga Tourism Services to have charges against them dismissed tomorrow.Â  Five other parties, including tour operators, have pleaded guilty and are yet to be sentenced.Â The National Emergency Management Agency pleaded not guilty before applying to have charges against it dismissed and was successful.Â  The Buttle brothers' lawyer Mr Cairney has repeatedly argued throughout his cross-examination of prosecution witnessesÂ that the duty under the workplace health and safety act does not fall to the owners of the land, but the operators of the tours.Â  He said he was not conceding his clients had a duty under the act, but even if they did, the prosecution had not provided evidence they failed in that duty, nor had they provided evidence on the circumstances of the brothers' individualÂ roles as directors of WML. ""They are not a group, this is not a prosecution of a family,"" Mr Cairney told the court last week. ""This is three individual prosecutions of three named defendants."" Worksafe NZ opposed the application to have the charges dismissed. Lawyer Michael Hodge said last week while the court would need to consider the evidence against each defendant separately, there was ""significant overlap in respect of the allegations and evidence against each Buttle"". He said whether or not there were assigned roles within WML, all three brothers, as directors of the company, had a duty to ensure the risk assessment was done.Â  ""If they tasked someone else to do it, or they tasked one of the three to do it, fine, but at the end of the day, all three were responsible for ensuring that it was done,"" Mr Hodge told the court. He said the evidence presented to the court showed that had not happened.Â",information retrieval,https://www.abc.net.au/news/2023-09-05/brothers-who-own-whakaari-white-island-have-charges-dismissed-/102814996
ir3,"Qantas boss Alan Joyce has announced he will leave the airline tomorrow, bringing forward his planned retirement by two months. And local shares have opened lower this morning, with no direction from US markets which are closed for the Labor Day holiday. Keep up with all the day's financial news and insights from our specialist business reporters on our blog. Disclaimer: thisÂ blog is not intended as investment advice.",information retrieval,https://www.abc.net.au/news/2023-09-05/asx-markets-business-live-news-sept05-2023/102814240
ir4,"Belated it may be but Alan Joyce's fall from grace is something to behold.Â  For 15 years, he has courted power and cultivated influence, becomingÂ one of the highest-paid executives in the land, all as Qantas operations have suffered and its reputation has been trashed. Suddenly, the never-ending spin that often ran counter to reality and truth has unravelled, leaving the diminutive corporate pugilist alone and increasingly isolated. Rather than a fond farewell, Joyce is facing an ignominious end. Qantas has hit the ejector button without a parachute before his scheduled November departure. It is a course of action the board had to consider. For as events in recent years at National Australia Bank, Westpac and Rio Tinto have shown, directors slow to act end up being shown the door themselves. Qantas is now fighting court action on three fronts:Â from his workforce, his customers and a federal government agency. The only group backing him are investors, who have been on the receiving end of a vast flood of cash, courtesy of ultra-high airfares and taxpayer funds. But even they are growing nervous. Hailed by some in the business community for taking on the unions, it is worth remembering the airline's actions have been declared illegal in court, a decision endorsed on appeal. Not one to shrink from a fight, Qantas now has taken the matter of its illegal sackings to the HighÂ Court. Then there is a class action from thousands of irate consumers, stunned by what they claim is the airline's strategy to appropriate more than half a billion dollars from cancelled flights and book it as profit. That rapidly spreading incendiary was given an almighty leg up late last week by the competition regulator which launched its own legal action, accusing Qantas of selling tickets on more than 8,000 flights that had already been cancelled, some of them up to 47 days earlier. If successful, and the evidence appears compelling, Qantas could be up for huge fines. It was the aeronautical equivalent of revelations from the banking royal commission, where some of our biggest financial institutions were caught selling life insurance to dead people. The stench had already begun to spread. Rather than take control of the situation, immediately remove Joyce from the company and suspend any further payments to him, the Qantas board, led by Richard Goyder, stood firmly behind its embattled chief executive even as the situation deteriorated. And deteriorate it did. In a startling turn of events, the Australian Competition and Consumer Commission also revealed that Qantas had concealed the number of flight cancellations to federal government authorities since it relaunched. Rather than the 4,149 cancellations it had owned up to, there were in fact almost three times that number, with the ACCC discovering more than 15,000. Disturbingly, it appears Qantas executives were being paid bonuses linked to diminishing numbers of cancellations, a turn of events that should even jolt the normally lethargic corporate regulator, the Australian Securities and Investments Commission, into action. But amidÂ all the scandal, backflips, controversy, apologies and admissions the airline's reputation had been ""tarnished"", Qantas's board last week proceeded with its plan to dish out more than $10 million in bonuses to Joyce. For years, Joyce has proclaimed that he didn't take any bonuses during the pandemic when airlines globally were confined to the tarmac and workers in their tens of thousands were laid off. That's true, kind of. His short-term bonus was indeed scrapped. But it was replaced by what the company called a ""retention payment"" which was pretty much the same as his short-term bonus. The long-term bonuses weren't scrapped at all. Instead, they were deferred, pushed back into a later time frame. Which is now. This was all done with board approval. As was Joyce's recent decision to sell $17 million worth of Qantas shares at a time he knew the ACCC was investigating its flight credit debacle. The pain now is rippling through the ranks of investors. After the debacle a decade ago, when Joyce shut down Qantas in a showdown with the airline's unions, and a follow-up disaster two years later when the carrier lost $2.8 billion trying to beat Virgin into submission, he reasoned that while you can alienate your customers and staff without too many repercussions, it's never wise to upset the owners. But there are limits. Shareholders have been happy to take the cash that has been rolled back to them via share buybacks and, right now, are on the receiving end of another $500 million buyback. That takes the total to $1.5 billion in the past year. Buybacks not only are tax effective but they have the added attraction of pushing up the share price. If you are an executive with a bonus based on share-price performance, it's an even sweeter deal. Not only are your accumulated share allocations worth even more, you'll be entitled to more shares for hitting your targets. Ordinarily, with Qantas standing in the market holding a $500 million buy order for its own shares, the stock would be heading towards the heavens. But the daily avalanche of awful news accompanied by convoluted explanations, conflicting statements and ongoing concealmentsÂ has seen investors head for the exits. Despite the buyback announced less than a fortnight ago, Qantas shares have been in freefall, down 15 per cent in the past week, plunging to theirÂ lowest level in almost a year. In a company that hasn't managed to break even during his 15-year stint in the boss's seat, Alan Joyce has done a remarkable job on the executive pay scale. It's unclear what will happen with his entitlements now that he's stepped down. If he had made it until November, and he kept all his entitlements, he was set to end up accumulating about $125 million for himself.Â Â  But what will he leave behind? The ACCC's court action, if successful, could incur fines north of $250 million. Westpac paid a $920 million fine over breaching money-laundering laws, and CBA was forced to shell out $700 million for failing to meet transaction disclosure requirements. Courts and regulators these days aren't prepared to tolerate corporate malfeasance. Then there is the bill for replacing the ageing fleet, now one of the oldest of all major airlines after Joyce continually delayed the purchase of new jets. With a potential $15 billion price tag, that is going to drain Qantas' cash flow for years to come. Joyce's hand-picked successor, Vanessa Hudson, may well have been delivered the ultimate hospital pass. But the biggest cost of all could be the loss of respect and influence in Canberra. The Morrison government forked out $2.7 billion in taxpayer cash to Qantas with no strings attached. Half of that has been pumped straight back to shareholders, including the executives. And now the Albanese government is under fire for its cosy relationship with Qantas after it admitted it blocked Qatar Airways from running extra flights just so it could protect the airline in a deal that screws over consumers and pushes up inflation. The Flying Kangaroo has always punched well above its weight when it comes to lobbying. Almost every pollie in the nation sports a Chairman's Lounge ticket which, incidentally, are selected personally by Joyce. That suddenly is looking less like a badge of honour and more like an item of scorn. If you're unable to load the form, click here.",information retrieval,https://www.abc.net.au/news/2023-09-05/qantas-alan-joyce-fall-from-grace-qatar-accc-flights-shares/102810986
ir5,"A breakthrough in the cold case murder of a man in central Queensland almost 15 years ago has detectives hopeful the ""offenders can be brought to justice"", as his son appeals for help to find his father's killer. Francis Patrick Foley was last seen at Rubyvale, west of Rockhampton in the Gemfields areaÂ in December 2008, and was the caretaker of aÂ non-commissioned lease of remote fossicking land. Neighbours reported hearing gunshots around the time of his disappearance, but previous searches by police in 2010 did not yield any clues. Human remains located by a fossicker in July, 2022 at Sheep Station Creek â€” around 1 kilometre from Mr Foley's residence â€” have since been linked to his close-living relatives through DNA testing, and police will conduct a forensic search at the site today. ""We do believe that with public assistance, irrespective of the passage of time, this crime can be solved, offenders can be brought to justice and we can provide some closure to Frank's family and friends,""Â Detective Senior Sergeant Tara Kentwell said. A $500,000 reward for information that leads to the apprehension and conviction of those responsible for Mr Foley's murder has been offered by the Queensland government. Detective Senior SergeantÂ KentwellÂ saidÂ Mr Foley was last seen on December 23, 2008, when he travelled to Emerald with a neighbour to do some Christmas shopping, before returning home. He was reported missing five days later, when a neighbour went to check on him after localised flooding and foundÂ an exploded gas bottle and Mr Foley's discarded wallet in the carport. ""Blood located at the scene was later identified as belonging to Frank,"" said Ms Kentwell, adding that damage to the gas bottle and Mr Foley's home wereÂ ""consistent with having been hit by a gunshot blast"". ""Neighbours recall hearing gunshots in the direction of Frank's residence during the afternoon and into the evening of the 23rd or the 24th of December, 2008."" In a brief statement, Mr Foley's adult son, Shaun Charlton, appealed to the people of Rubyvale for assistance. ""I have missed my dad now for 15 years,"" he said. ""I'm from a small town, I know the sort of town Rubyvale is, and I know people know. ""Please help me find my dad's killer and help my family find my father's killer.""",information retrieval,https://www.abc.net.au/news/2023-09-05/queensland-police-cold-case-murder-francis-foley-2008/102814926
ir6,"Australia's medical regulator says it is cracking down on cosmetic procedures such as botox and fillers, but those living with the long-term impacts of botched procedures say the focus has come too late. The Australian Health Practitioner Regulation Agency (AHPRA) and the Medical Board of Australia say they will focus on stronger safeguards to protect people from botched procedures by reviewing the level ofÂ care patients receive before and after treatment, as well as ensuring there is informed consent before undergoing treatment. They will propose new procedural and advertising guidelines after receiving a number ofÂ complaints which have includedÂ significant burns, adverse reactions and serious infections.Â  ""The cosmetics sector is a booming sector, and we want to make sure that anyone choosing to undergo a cosmetic procedure is as safe as possible,"" AHPRA's chief executive Martin Fletcher told the ABC. Angie, who did not want her real name published, said she was forced to take a year off work as a nurse after getting routine dermal fillers to correct bags under her eyes. She knew something did not feel right after her treatment at a South Australian cosmetic clinic. ""I went back and said to them, 'This isn't right, I need to get this stuff out of my face.' I was beside myself and couldn't function,"" she said. However, complaints about tightness around her face wereÂ dismissed by the clinic and she was told to wait for things to ""settle down"". Source: AHPRA. All names are pseudonyms Angie ended up back inÂ the clinic forÂ hyaluronidase injections around her eyes to dissolve the fillers. The treatment to fix the problemÂ was intolerable, she said, and led to ""excruciating nerve pain"".Â  She also said the shame of what happened to her prevented her from reporting the clinic at the time, and she eventually went to see specialists who gave her steroids, anti-seizure drugs for nerve pain and analgesics. She said at the very least, there should be better information about what can go wrong with non-surgical procedures, as well as how painful the dissolving agent was to fix the problem. ""They made it look like you're just going there to get your hair done,"" she said. ""It's an ethical and moral issue for people in the field. They need more consent and understanding of the horrific consequences that could happen. ""My self-esteem wasn't OK at that point in time anyway, but then to have this happen, not knowing if the pain will go away, if I'd be able to work and look after my kids again was very stressful. Getting through each day was a trial."" Do you know more about this story? EmailÂ Specialist.Team@abc.net.au. AHPRA and the medical board commissioned an independent review of the regulations around cosmetic surgeons back in November 2021, following a joint ABC-Nine investigation ofÂ the sector. Read the story:Â Videos show 'dangerous' practices in cosmetic surgery clinics, plastic surgeons say. Since then, 14 doctors have been banned or restricted from performing cosmetic surgery in Australia. A cosmetic surgery hotline set up by AHPRA and the medical boardÂ has received 428 calls since its launchÂ this time last year. It also received close to 180 formal complaints, which led to investigations into dozens of doctors. Michael Fraser, co-director of patient advocacy group Operation Redress, said people hadÂ told him they were being upsold a range of procedures while going in for a botox session.Â  ""These doctors will often be more than happy to take your money and sell you procedures,""Â he said. ""If you want to get procedures, get procedures, but you must be able to do so in a safe way. And you mustn't have a doctor trying to upsell you or convince you that you have a problem that you didn't know existed."" He saidÂ anyone who was thinking of getting non-surgical procedures neededÂ to do their research and think about their decision carefully. ""My message would be that you wait three to six months if you're considering getting surgery â€¦ and see how you feel then,"" he said. ""And if you're getting an injectable treatment to ensure that you're going to a place that actually has a fully trained doctor in the clinic. But even then, that really doesn't guarantee you any kind of safety whatsoever."" Mr Fletcher said at-risk Australians suffering from body dysmorphia and other mental health issues needed to be protected. ""It's really important that those [cosmetic procedure] practitioners do good assessments,Â they don't target at-risk people,"" Mr Fletcher said. He said social media advertising would also be a focus. ""We see a lot of advertising that raises concerns for us,"" Mr Fletcher said, pointing the finger at social mediaÂ ads that explainÂ the benefits of cosmetic procedures but not the risks, overstate the benefits, or feature misleading before and after photos. ""We want to really make sure that advertising is accurately and fairly explaining these practices, both in terms of the benefits and risks."" Moving forward, Angie wants all potential clients to get counselling before they can book in a treatment like hers. ""I didn't tell people for so long,"" she said. ""I was so embarrassed, I didn't tell my friends. It's only now that I realise it's happening to other people. They made it out to feel like I was nuts. ""It's their responsibility to let them know this could happen. You can be so wiped out, so unwell, that they won't be able to take them to court."" Angie won't be getting any more cosmetic procedures in the future.Â She said they were not worth it. ""If I didn't have kids I needed to protect, I'd be advocating and putting my face out there,"" she said. ""It breaks my heart that people are going and having these unnecessary treatments.""",information retrieval,https://www.abc.net.au/news/2023-09-05/ahpra-cosmetic-surgery-probe-to-include-fillers-botox-injections/102811324
ir7,"Victorian Premier Daniel Andrews has cast doubt on his government's ability to deliver reforms recommended by the state's Indigenous truth-telling inquiry within the ""ambitious"" time frame set out. The Yoorrook Justice Commission delivered itsÂ reportÂ yesterday after a year-long inquiry, making 46 recommendations for reform that amounted to a major overhaul of the state's child protection and criminal justice systems. The commission is calling on the state government to create an independent watchdog to tackle police complaints, a First Nations-controlled child protection system and to stop detaining children under the age of 16. It set a 12-month time frame for the government to deliver on ""urgent"" recommendations to reformÂ the child protection and criminal justice systems. Mr Andrews saidÂ the government would not respond immediately to the recommendations set out in the report.Â  ""We will look at each and every one of the recommendations that have been made, from this report and the next report,"" he said. ""Cabinet will have a proper, deliberative process to work through line by line, recommendation by recommendation and we will report progress.""Â Â  Mr Andrews described the 12-month time frame for urgent reforms set out in the report as ""challenging"" and would not commit to meeting that deadline. ""But again, being challenged is what this is all about. If this was easy someone else would have done it a hundred years ago."" On Monday, the state opposition acknowledged VictoriaÂ was failing to improveÂ the lives of Indigenous people, but expressed reservations about the creation of separate justice systems for Aboriginal Victorians. During aÂ year-long inquiry, the Yoorrook Justice Commission found evidence of ongoingÂ systemic racism and gross human rights abuses committed against First Peoples in the state of Victoria. Among Yoorrook's recommendations is a call for a new police oversight body â€”Â to be led by someone who is not a police officer â€”Â with the power to arrest and search VictoriaÂ Police officers andÂ investigate police complaints and deaths in custody. Yoorrook wants the new watchdog to have a dedicated First Peoples-led division to deal with police complaints from Aboriginal people. It also called on the government to urgently introduce legislation to raise the minimum age of criminal responsibility to 14 without exceptions and to prohibit the detention of children under 16. The Victorian government has committed to raising the age of criminal responsibility from 10 to 12 in 2024, and then 14 by 2027. ""I think all of us can agree, except for the most serious of crimes, sending kids to 'crime school' is not necessarily a smart thing to do,"" Mr AndrewsÂ said. Victoria's Commissioner for Aboriginal Children and Young People, Meena Singh, called on the government to move forward its timeframe for changes. ""It's something that the commission has advocated for on the back of the Our Youth Our Way inquiry that looked at experiences of Aboriginal people and young people and the criminal justice system,"" she told RN. ""So many different people have called for the raising of the age to 14, no exceptions, as soon as possible."" Ms Singh said the punitive approach was not working. ""Children are becoming engaged with the criminal justice system at a very young age without those traumas being addressed and without those behaviours being understood and without any help for them,"" she said. ""We know the earlier a child goes into the criminal justice system the more likely they are to stay entrenched and the more likely they are to progress to adult offending.""",information retrieval,https://www.abc.net.au/news/2023-09-05/victoria-yoorrook-report-response/102814534
ir8,"Independent senator Lidia Thorpe has revealed her unlikely friendships with political adversaries, and says she was once approached by former Victorian premier Jeff Kennett to run for the Liberal Party. Senator Thorpe, who entered the Senate as a representative of the Greens but now sits on the crossbench, described One NationÂ senator Malcolm Roberts as ""a real gentleman"" and Nationals senator Matt Canavan as ""an old mate from way back"". ""It's weird, it's really weird,"" Senator Thorpe told ABC TV's Kitchen Cabinet. ""I just kind of treat it like the netball court, white line fever. ""Once I'm in that Senate, I'm there for business â€¦ I've got my agenda, which is Black justice in this country. ""And then out of the court, I'll be your friend."" She said Mr Kennett asked her to run for the Liberals, something he confirmed to the ABC. He said he met Senator Thorpe when she was in Victorian parliament and asked if she would consider joining the Liberal Party and standing as a Liberal candidate in future elections. ""I thought she was an interesting character with strong views,"" Mr Kennett said. ""I like people with strong views. That's not to say we always agree on everything. ""In life you want people who are going to challenge you and she certainly does that."" Senator Thorpe told Kitchen Cabinet her response to his offer was: ""You got no hope,"" she said.Â ""Thanks for thinking of me, though. I really appreciate it."" But that friendly rapport does not extend to Opposition Leader Peter Dutton, who Senator Thorpe says she has been unable to meet despite numerous attempts. ""I think he dodges me. I think he's met his match and he just can't deal, you know?"" she said. ""I call out to him all the time 'Hey Dutton!' you know 'come over and have a yarn' and he just walks off. ""[He] doesn't want to know me, which is fine."" She said she did not think her supporters would be shocked by revelations of these unlikely friendships. ""They know how I operate â€¦ I mean I do what I have to do to get the job done,"" Senator Thorpe said. ""And if it means I've got to talk to people that don't have the same values, then that's what you've got to do."" Senator Thorpe was elected to federal parliament for the Greens in 2020 and her parliamentary career since then has been a turbulent one. It has included headline-making moments like calling the Queen a coloniser while being sworn in, and using parliamentary privilege to raise allegations ofÂ inappropriate behaviour in the parliament. Last year, she also admitted to an undisclosed relationship with an ex-bikie president while serving on a law enforcement committee and most recently she left the Greens to sit as an independent over the party's position on the Voice to Parliament referendum. Senator Thorpe saidÂ racism in the school systemÂ drove her to leave school at 14. Then when she entered politics â€“ as the first Indigenous woman to sit in the Victorian parliament â€“Â she felt like the defaultÂ cultural consultant. ""It was cultural overload â€¦ cultural fatigue â€¦ I had toÂ say to people 'I'm not the Aboriginal liaison officer in this place',"" she said. In particular, she said she found dealing with people's ""white guilt"" harder than dealing with racism. ""I've had people cry to me about their white guilt,"" she said. ""They just suck the energy from you, they just want to spend so much time ... to have some kind of an understanding and want to be appreciated for whatever theyâ€™re doing, which makes no difference to our life."" Watch Kitchen Cabinet tonight on ABC TV at 8pm or on ABC iview.",information retrieval,https://www.abc.net.au/news/2023-09-05/lidia-thorpe-right-wing-friendships-senate-kitchen-cabinet/102792352
ir9,"The NSW government will ""engage with Origin Energy"" on a proposed extension of the life of Australia's largest black coal-fired power plant. A review of the state's energy transition has recommended the government discuss delaying the closure of Eraring, which is set for August 2025. Energy Minister Penny Sharpe is announcingÂ the government's plans for the future of the power station. The report, authored by energy expert Cameron O'Reilly, said the closure of Eraring would require the state to speed up the building of new energy projects, and the ""likelihood of success is low"". ""With the amount of notice given on Eraring's closure, it is reasonable to seek more time,"" the report said. MsÂ Sharpe said she did not want to keep a coal-fired power station open longer than it had to be and would not say how long it should stay open beyond its planned closure date. ""The check-up makes it clear that the case for Origin Energy to extend its time frame for phasing our Eraring is there,"" she said. ""I know everyone wants to put a figure on it but that's not where we are at."" ""I can't give you a time and I can't give you a cost."" She said that would be part of the next stages of negotiating with the power plant. The report makes 54 recommendations about the state's energy transition, with 50 accepted by the government either in full or in part. It does not address how much an extension of Eraring's life will cost taxpayers. In July the Australian Energy Regulator found wholesale electricity prices rose in May due to higher demand in southern states, lower solar generation, and reduced cheap coal capacity in NSW and Queensland. Last week, the Australian Energy Market Operator (AEMO) warned of ""reliability gaps"" if Eraring shuts as scheduled in 2025. But that modelling in its ""Electricity Statement of Opportunities"" report only took into account new energy projects in the pipeline. The report also modelled the impact of so-called ""firming infrastructure"" -- that is, battery storage, pumped hydro, and gas â€“ which has been put out to tender but not yet locked in. AEMO found those projects, alongside the Waratah Super Battery, would offset Eraring's retirement, making reliability risks within the acceptable limit. In May, the Minns government commissioned a review of the state's energy transition plan and looked at whether the NSW power supply could manage without Eraring Former energy minister, Matt Kean, claimed it would cost $3 billion to keep the plant open for another two years. Ms Sharpe on Monday called that ""an unverified figure"" and said she had not seen it. She said the cost to taxpayers of keeping Eraring open was not yet being considered. Tim Buckley, from Clean Energy Finance, said providing government subsidies to keep Eraring open could lead to more setbacks for future wind and solar projects. ""Every time you extend a coal plant, you delay and defer expenditure on replacement capacity,"" he told ABC Radio Sydney. ""So these subsidies would be crowding out the replacement capacity that would permanently solve the problem,"" he said. The Climate Council said NSW would not meet its emissions reduction targets if Eraring remainedÂ open beyond the slated closure date.",information retrieval,https://www.abc.net.au/news/2023-09-05/nsw-eraring-power-station-possible-life-extension/102814540
ir10,"It's about as far removed as you can get from a rockstar's lifestyle. But cats, antiques and Japanese artwork wereÂ Freddie Mercury's happy place, his private photos have revealed. The snaps â€” mainly polaroids from the 1980s â€”Â were part of the legendary Queen frontman's estate, and have been released publicly for the first time since his death in 1991. His photo albums, which comprise 265 pictures, have shone a more personal light on the rockstar's final years at his London mansion Garden Lodge, and abroad. They're set to be sold, along with more than 1,400 of Mercury's possessions, in a series of auctions beginning on Wednesday. David Macdonald, senior director of Sotheby's in London, curated the sale and described the pictures as ""mythology busting"". ""They're very, very biographical, but perhaps not in the way you might expect,"" he said. ""He's sitting in the kitchen with a cat or, you know, there's a photo of a vase, or friends in the garden chatting. It's a different kind of world."" While some believed Mercury lived a wild party lifestyle, Mr Macdonald said ""at Garden Lodge, he was actually more likely to ask guests 'can you please use a coaster'."" When Mercury died from complications due to AIDS, he left his west London sanctuary and everything in it to his friend and one-time fiancee Mary Austin. Mr Macdonald said he didn't think Mercury would have objected to people seeing the pictures, which include Christmas and birthday celebrations. ""There's something very interesting about polaroids because there's such a transient moment in life,"" he said. ""They've been in the darkness for 30 years, actually longer, and to have them out in the light and to share them with people for this moment is quite special."" Ms Austin, 72, has rarely spoken publicly since Mercury's death. Earlier this year, she said it was ""time to put her affairs in order"" and sell the items. ""The collection takes you deeper within the individual and the man I knew,"" Ms Austin told the BBC. The items to be auctioned represent most of what was in Garden Lodge at the time of Mercury's death, and include paintings, his baby grand piano, and original song lyrics to some of Queens biggest hits. ""So much has already been written and discussed about Freddie Mercury in the past 30 years, but perhaps never before have we had the privilege of coming so close to illuminating his personal world, something only known until now by his nearest and dearest,"" Mr Macdonald said. The auction is expected to generate millions of pounds, with some of the proceeds to be donated to charity. The items, including the photographs, have been on exhibition at Sotheby's London headquarters until today â€” what would have been Mercury's 77th birthday.",information retrieval,https://www.abc.net.au/news/2023-09-05/freddie-mercury-private-photo-albums-revealed/102768694
